product_code,x,y,cluster_name,target,name
9014,-2.0032059308138805,-1.0370930535356342,Electronic and Electrical Goods,8803, Direction finding compasses; other navigational instruments and appliances.
9014,-2.0032059308138805,-1.0370930535356342,Electronic and Electrical Goods,9015, Direction finding compasses; other navigational instruments and appliances.
9014,-2.0032059308138805,-1.0370930535356342,Electronic and Electrical Goods,8802, Direction finding compasses; other navigational instruments and appliances.
1302,-2.941896367769099,0.7907250622161244,Agriculture,2939,"Agar and other mucilages and thickeners, whether or not modified, derived from vegetable products."
1302,-2.941896367769099,0.7907250622161244,Agriculture,9706,"Agar and other mucilages and thickeners, whether or not modified, derived from vegetable products."
1302,-2.941896367769099,0.7907250622161244,Agriculture,9703,"Agar and other mucilages and thickeners, whether or not modified, derived from vegetable products."
1302,-2.941896367769099,0.7907250622161244,Agriculture,9701,"Agar and other mucilages and thickeners, whether or not modified, derived from vegetable products."
5105,1.722005894945017,1.7505204499777127,Textile and Home Goods,5101," Wool and fine or coarse animal hair, carded or combed (including combed wool in fragments)."
5105,1.722005894945017,1.7505204499777127,Textile and Home Goods,1214," Wool and fine or coarse animal hair, carded or combed (including combed wool in fragments)."
5105,1.722005894945017,1.7505204499777127,Textile and Home Goods,409," Wool and fine or coarse animal hair, carded or combed (including combed wool in fragments)."
5105,1.722005894945017,1.7505204499777127,Textile and Home Goods,3301," Wool and fine or coarse animal hair, carded or combed (including combed wool in fragments)."
5105,1.722005894945017,1.7505204499777127,Textile and Home Goods,601," Wool and fine or coarse animal hair, carded or combed (including combed wool in fragments)."
8411,-2.0700228718638667,-0.973237653925204,Metalworking and Electrical Machinery and Parts,8803,Propellers and other gas turbines.
8411,-2.0700228718638667,-0.973237653925204,Metalworking and Electrical Machinery and Parts,9014,Propellers and other gas turbines.
8411,-2.0700228718638667,-0.973237653925204,Metalworking and Electrical Machinery and Parts,9024,Propellers and other gas turbines.
8411,-2.0700228718638667,-0.973237653925204,Metalworking and Electrical Machinery and Parts,8805,Propellers and other gas turbines.
8411,-2.0700228718638667,-0.973237653925204,Metalworking and Electrical Machinery and Parts,3302,Propellers and other gas turbines.
3209,1.216733676306971,0.1671815594789496,"Construction, Building, and Home Supplies",3208," Paints and varnishes (including enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in ..."
3209,1.216733676306971,0.1671815594789496,"Construction, Building, and Home Supplies",3917," Paints and varnishes (including enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in ..."
3209,1.216733676306971,0.1671815594789496,"Construction, Building, and Home Supplies",4823," Paints and varnishes (including enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in ..."
3209,1.216733676306971,0.1671815594789496,"Construction, Building, and Home Supplies",7310," Paints and varnishes (including enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in ..."
3209,1.216733676306971,0.1671815594789496,"Construction, Building, and Home Supplies",4818," Paints and varnishes (including enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in ..."
1502,1.232849110151033,1.276699573502651,Agriculture,206," Fats of bovine animals, sheep or goats, other than those of heading 15.03."
1502,1.232849110151033,1.276699573502651,Agriculture,201," Fats of bovine animals, sheep or goats, other than those of heading 15.03."
1502,1.232849110151033,1.276699573502651,Agriculture,202," Fats of bovine animals, sheep or goats, other than those of heading 15.03."
1502,1.232849110151033,1.276699573502651,Agriculture,3501," Fats of bovine animals, sheep or goats, other than those of heading 15.03."
