"Mode","Station","annual_entry_exit","Station_london","latitude","longitude"
"LU","Stratford Station",54376225,"Stratford Station , London",51.5416543,-0.004785
"LU","Sudbury Hill Station",1631696,"Sudbury Hill Station , London",51.5574723,-0.335511
"LU","Sudbury Town Station",1555062,"Sudbury Town Station , London",51.5494024,-0.3167556
"LU","Swiss Cottage Station",5236551,"Swiss Cottage Station , London",51.542443,-0.1736301
"LU","Temple Station",7049636,"Temple Station , London",51.51111865,-0.113787542475103
"LU","Theydon Bois Station",734300,"Theydon Bois Station , London",NA,NA
"LU","Tooting Bec Station",6265211,"Tooting Bec Station , London",51.4353655,-0.1587971
"LU","Tooting Broadway Station",12397420,"Tooting Broadway Station , London",51.4284691,-0.1688305
"LU","Tottenham Court Road Station",58726155,"Tottenham Court Road Station , London",51.5155317,-0.1283264
"LU","Tottenham Hale LU Station",13239937,"Tottenham Hale LU Station , London",NA,NA
"LU","Totteridge & Whetstone Station",1989399,"Totteridge & Whetstone Station , London",51.6301085,-0.1796009
"LU","Tower Hill Station",14965619,"Tower Hill Station , London",51.5098481,-0.0766986
"LU","Tufnell Park Station",4875982,"Tufnell Park Station , London",51.5568846,-0.1373772
"LU","Turnham Green Station",4663306,"Turnham Green Station , London",51.49531415,-0.254977066554964
"LU","Turnpike Lane Station",7948900,"Turnpike Lane Station , London",51.5907904,-0.1035568
"LU","Upminster Station",4774045,"Upminster Station , London",51.5585367,0.254028570863929
"LU","Upminster Bridge Station",838918,"Upminster Bridge Station , London",51.5582655,0.2347689
"LU","Upney Station",2153159,"Upney Station , London",51.538266,0.099626
"LU","Upton Park Station",8491273,"Upton Park Station , London",51.5346293,0.035623
"LU","Uxbridge Station",5419509,"Uxbridge Station , London",51.5469033,-0.4787758
"LU","Vauxhall LU Station",20770515,"Vauxhall LU Station , London",NA,NA
"LU","Victoria LU Station",59572570,"Victoria LU Station , London",NA,NA
"LU","Walthamstow Central Station",13349683,"Walthamstow Central Station , London",51.5829022,-0.0213976
"LU","Wanstead Station",1948236,"Wanstead Station , London",51.5758611,0.0288712
"LU","Warren Street Station",14076462,"Warren Street Station , London",51.5240842,-0.1376199
"LU","Warwick Avenue Station",3019402,"Warwick Avenue Station , London",51.5236948,-0.1834984
"LU","Waterloo LU Station",70329553,"Waterloo LU Station , London",NA,NA
"LU","Watford Station",1653584,"Watford Station , London",NA,NA
"LU","Wembley Central Station",4598994,"Wembley Central Station , London",51.5527571,-0.2963385
"LU","Wembley Park Station",15510977,"Wembley Park Station , London",51.56347855,-0.279698309074701
"LU","West Acton Station",1057631,"West Acton Station , London",51.5179412,-0.280961595905511
"LU","West Brompton Station",5181211,"West Brompton Station , London",51.4872484,-0.195521994032778
"LU","West Finchley Station",1296777,"West Finchley Station , London",51.60946365,-0.188431565512334
"LU","West Ham Station",5338957,"West Ham Station , London",51.5272449,0.00434552456852399
"LU","West Hampstead LU Station",7390480,"West Hampstead LU Station , London",NA,NA
"LU","West Harrow Station",1003523,"West Harrow Station , London",51.5795991,-0.3531364
"LU","West Kensington Station",3763523,"West Kensington Station , London",51.4899213,-0.2064561
"LU","West Ruislip Station",1212120,"West Ruislip Station , London",51.5700853,-0.4376012
"LU","Westbourne Park Station",3529781,"Westbourne Park Station , London",51.5212479,-0.2009375
"LU","Westminster Station",19172572,"Westminster Station , London",51.5013562,-0.1249302
"LU","White City Station",7890670,"White City Station , London",51.5115622,-0.2246557
"LU","Whitechapel Station",17452196,"Whitechapel Station , London",51.51968335,-0.0603442668839896
"LU","Willesden Green Station",5426495,"Willesden Green Station , London",51.5488614,-0.2213592
"LU","Willesden Junction Station",4321012,"Willesden Junction Station , London",51.5322242,-0.2468962
"LU","Wimbledon Station",11223888,"Wimbledon Station , London",51.4202156,-0.2065393
"LU","Wimbledon Park Station",1841679,"Wimbledon Park Station , London",51.43452555,-0.199519029093684
"LU","Wood Green Station",9088053,"Wood Green Station , London",51.5967287,-0.1095938
"LU","Wood Lane Station",4909025,"Wood Lane Station , London",51.5101068,-0.2237557
"LU","Woodford Station",4492296,"Woodford Station , London",51.6071365,0.0356068
"LU","Woodside Park Station",3657219,"Woodside Park Station , London",51.6178525,-0.1851785
"LO","Acton Central Station",1600049,"Acton Central Station , London",51.5064722,-0.2641835
"LO","Anerley Station",1127618,"Anerley Station , London",51.4120397,-0.0655288
"LO","Barking Station",NA,"Barking Station , London",51.5395762,0.0806292
"LO","Barking Riverside Station",843628,"Barking Riverside Station , London",51.5198062,0.116093621613119
"LO","Bethnal Green LO Station",1710233,"Bethnal Green LO Station , London",NA,NA
"LO","Blackhorse Road Station",NA,"Blackhorse Road Station , London",51.5865668,-0.0404128
"LO","Brockley Station",3533098,"Brockley Station , London",51.4633813,-0.0358641
"LO","Brondesbury Station",2557465,"Brondesbury Station , London",51.5452032,-0.2017216
"LO","Brondesbury Park Station",1543742,"Brondesbury Park Station , London",51.5405138,-0.2103359
"LO","Bruce Grove Station",2574117,"Bruce Grove Station , London",51.5934988,-0.0696827
"LO","Bush Hill Park Station",2056493,"Bush Hill Park Station , London",51.6422837,-0.0701823995858969
"LO","Bushey Station",580235,"Bushey Station , London",NA,NA
"LO","Caledonian Road & Barnsbury Station",2055409,"Caledonian Road & Barnsbury Station , London",51.5427426,-0.1174417
"LO","Cambridge Heath Station",1648923,"Cambridge Heath Station , London",51.5323815,-0.0580852
"LO","Camden Road Station",4280157,"Camden Road Station , London",51.54197045,-0.139047001606119
"LO","Canada Water Station",NA,"Canada Water Station , London",51.4984711,-0.0490974
"LO","Canonbury Station",2698091,"Canonbury Station , London",51.5485632,-0.0930239
"LO","Carpenders Park Station",1263940,"Carpenders Park Station , London",NA,NA
"LO","Cheshunt Station",983008,"Cheshunt Station , London",NA,NA
"LO","Chingford Station",2458651,"Chingford Station , London",51.6334437,0.0098569
"LO","Clapham High Street Station",1807751,"Clapham High Street Station , London",51.4652137,-0.1323568
"LO","Clapham Junction Station",12888580,"Clapham Junction Station , London",51.4636126,-0.1684735
"LO","Clapton Station",2335586,"Clapton Station , London",51.5618443,-0.0574666
"LO","Crouch Hill Station",1149023,"Crouch Hill Station , London",51.5706553,-0.1156178
"LO","Crystal Palace Station",1879631,"Crystal Palace Station , London",51.4172619,-0.0736318
"LO","Dalston Junction Station",5581140,"Dalston Junction Station , London",51.5461957,-0.0733749
"LO","Dalston Kingsland Station",5322991,"Dalston Kingsland Station , London",51.5481908,-0.0760535
"LO","Denmark Hill Station",7011961,"Denmark Hill Station , London",51.4679494,-0.0891559
"LO","Edmonton Green Station",4025431,"Edmonton Green Station , London",51.6252804,-0.0616263
